"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","map_number"
199,"kanunnikstr.","Chanoines, r. des","r. de Courtrai — r.",,,
200,,"Metdepenningen. (",,5,2," 78-88"
201,"houtbriel","Chantier, r. du","vieux mar. aux moutons — mar. aux veaux. (",1,1," 50-51"
202,"kapelaanstr.","Chapelain, r. du","r. du prévôt — r. des espagnols. (",7,1,62
203,"kapellestr.","Chapelle, r. de la","r. du hareng-pec — r.",,,
204,,"Ste Agnès.",,2,2,68
205,"kapellestr.","Chapelle, r. de la","r. des sentiers — r. de l’église. Gendbrugge.",,,83
206,"kapelstr.","Chapelle, r. de la","r. de Gontrode — r. du maure (Ledeberg).",,,113
207,"Karel de Kerchoveboulevard","Charles de Kerchove, boulevard","chaussée de Courtrai — porte de la Colline.","5|5",2," 87-98"
208,"keizerkarelstr.","Charles-Quint, r.","pont neuf — place Van Artevelde. (",4,1," 61-71"
209,"Karel de Stoutestr.","Char es le Téméraire, r.","r. Marie de Bourgogne — q. de Terplaeten. (",4,1,100
210,"Karel-Lodewijk Diericxstr.","Charles-Louis Diericx, r.","— rue d'Akkergem — rue de la flèche ",11,2,56
211,"Karel-Theodoorstr.","Charles-Théodore, r.","r. de la forge — r. des prairies. (",9,2,96
212,"karrenstr.","Charrettes, r. des","r. d'Ypres — r. du chaume. (",2,2,68
213,"ploegstr.","Charrue, r. de la","ch. de Meulestede, entre les nos 162 et 164 chemin de fer. (",8,1,11
214,"ploegstr.","Charrue, r. de la","r. des remparts — r. de Gontrode.",,,
215,,"Gendbrugge. 113",,,,
216,"chartreuzenlaan","Chartreux, b. des","pl. des chartreux — b. du grand marais. (",3,3," 30-40"
217,"Chartreuzenplaats","Chartreux, pl. des","entre le boul. des Chartreux, quai des tuileries et rue des filles Dieu (",3,3,39
218,"kasteellaan","Château, boul. du","boul. Lousbergs — quai de l'école. (",7,1," 52-72"
219,"kasteelkaai","Château, quai du","q. de la tour rouge — dock. (",7,1," 51 52"
220,"kasteelstr.","Château, r. du","r. d'Anvers — q. du château. (",7,1,51
221,"kasteelstr.","Château, r. du","r. des sentiers — Melle.",,,
222,"ketelplein","Gendbrugge. Chaudronniers, plaine des","commencement de la r. basse des champs — la Lys. (",5,2,69
223,"ketelpleinstraat","Chaudronniers, r. de la plaine des","plaine des chaudronniers — rlle de la Lys. (",5,2,69
224,"ketelvest","Chaudronniers, remp. des","r. basse des champs — r. du pont Madou. (",5,2," 69-70"
225,"stoppelstr.","Chaume, r. du","r. des annonciades — r. de Waerschoot. (",2,2,68
226,"ijzerenweglaan","Chemin de fer, boul. du","r. de belle vue — pont du Strop (Ledeberg). ",,,"100-101"
